Viet Nam is deeply concerned at the alarming deterioration of the security and humanitarian situation in the eastern part of the Democratic Republic of the Congo.	1
Text of the related provisions is as follows:	0
Co-operation with a Foreign State and International Institutions	0
In all cases, the prior monthly salary data either had not been entered in the database or had been entered incorrectly.	0
To be held on Wednesday, 21 June 2006, at 10.15 a.m.	0
Deployment of qualified and well-trained international civilian police as a component of peacekeeping operations, to enhance the capacity of the United Nations and to assist the host State with law enforcement. (ad ref)	1
To be held on Wednesday, 11 August 2004, at 10 a.m.	0
IV. Joint Border Verification and Monitoring Mechanism	0
The Commission finds that the occurrences of torture may therefore amount to a crime against humanity and, given the discriminatory nature of the attacks, may also involve the crime of persecution as a crime against humanity.	1
To be held on Friday, 29 October 2010, at 3 p.m.	0
The purpose of these strikes is thus clear: to exterminate Syria's moderates and eradicate our forces on the ground.	1
The observers concur that the immediate public announcement of the count bore no adverse effect on the overall result.	0
An ambitious decentralization plan, with special competences going beyond those given to all other municipalities, should not endanger central institutions in Kosovo or weaken Pristina's authority. It would establish effective institutional guarantees for the minorities, increase confidence in the central institutions of Kosovo and contribute to a situation where such municipalities would be under the authority of Pristina.	1
It seems clear that listed terrorists are still managing to raise and receive funds from sympathisers outside their immediate circle.	1
(i) Attacks by Government armed forces and the Janjaweed 241. On the basis of its analysis of other sources and its own investigative work, the Commission found that attacks on villages in Darfur conducted by Government of the Sudan armed forces and the Janjaweed occurred throughout the conflict, with peaks in intensity during certain periods.	1
No such programs are currently in place.	0
The Security Council recognizes that development and security are mutually reinforcing and are vital to an effective and comprehensive approach to countering terrorism.	1
To be held on Wednesday, 19 January 2011, at 10.30 a.m.	0
143. Second, the Government and the rebel leaders must emphasize efforts to prevent excesses, to protect people at risk and to bringing to justice those responsible for excesses.	1
This provision is clearly envisaged in Section 9 of the Nepal Treaty Act.	0
79. A lesser stir followed after Serbia announced that the projected Southern Stream natural gas pipeline could also serve the Republika Srpska.	0
:: Issues of policy, planning and the preparedness gap regarding the protection of civilians; the threats and challenges regarding mandate implementation on the ground; how can the experiences and challenges of the troop- and police-contributing countries in implementing the protection of civilians be better incorporated into developing future strategies and guidance; how to ensure that all peacekeepers are being trained using the same standards on the protection of civilians	1
46. Yuta Furukawa of the Japanese channel TBS, on 19 December.	0
"""The Security Council also reiterates its grave concern about the consequences of instability in the North of Mali on the Sahel region and beyond, and stresses the need to respond swiftly to this crisis through a comprehensive and strategic approach in order to ensure the territorial integrity of Mali and restore its stability and prevent further destabilization of States of the Sahel."	1
The resolution reiterates the importance of fulfilling those obligations and stresses that neither party should undertake any activity that contravenes those Road Map obligations or prejudices the final status negotiation.	1
"""The Security Council further calls upon the government of the DRC to continue to implement its action plan to prevent and end the recruitment and use of children as well as prevent and end all acts of sexual violence against children by the FARDC."	1
The offender shall be punished by imprisonment for a term of three to ten years or by forfeiture of property,	1
I have also selected Atabou Bodian to chair the Panel of Experts.	0
- one entry point and one exit point in Rodrigues at Plaine Corail.	0
"""The Security Council attaches great importance to the role of the Organization of African Unity and welcomes its decision to establish the International Panel of Eminent Personalities to Investigate the Genocide in Rwanda and the Surrounding Events (S/1998/461)."	1
In West Africa, UNOWA has played a prominent role in supporting efforts to implement the Economic Community of West African States Regional Action Plan to Address the Growing Problem of Illicit Drug Trafficking, Organized Crime and Drug Abuse in West Africa.	1
But let us be frank with each another -- there is no open question in Kosovo that is not related to status, either directly or indirectly.	0
The two Let 410 aircraft, registered in Swaziland as 3D-ERS and 3D-ETY, arrived in Beni from Khartoum on 7 and 8 May 2004 respectively.	0
The Council considers enhancement of the rule of law activities as crucial in the peacebuilding strategies in post-conflict societies and emphasizes the role of the Peacebuilding Commission in this regard.	1
20. The Monitoring Group has determined during the current mandate period that arms flows from Yemen to Somalia came not only from criminal groups (to BAM for purchase by the opposition) but also from the Government of Yemen directly to TFG.	1
47. The Government of the Central African Republic has repeatedly expressed its strong preference for receiving direct capacity-building assistance for its national forces and has initiated contact with several potential bilateral partners.	1
1. On this day IAEA and UNMOVIC inspection teams made surprise inspections of 12 sites in and around Baghdad and of one in Basrah governorate, with 84 inspectors taking part.	0
3. Recalls that criminal acts, including against civilians, committed with the intent to cause death or serious bodily injury, or taking of hostages, with the purpose to provoke a state of terror in the general public or in a group of persons or particular persons, intimidate a population or compel a government or an international organization to do or to abstain from doing any act, which constitute offences within the scope of and as defined in the international conventions and protocols relating to terrorism, are under no circumstances justifiable by considerations of a political, philosophical, ideological, racial, ethnic, religious or other similar nature, and calls upon all States to prevent such acts and, if not prevented, to ensure that such acts are punished by penalties consistent with their grave nature;	1
The group reportedly has strong links with AlQaida in the Arabian Peninsula and has provided training in Somalia to individual terrorists from Nigeria and countries with a closer proximity to its borders.	1
Paragraph 2 (a): expulsion of all RUF members from Liberia ...	0
64. The ability to prevent terrorists from organizing and moving freely across the territories of Member States of the subregion (especially in the Sahel) depends not only upon the effectiveness of bilateral and subregional cooperation but also on measures taken to put in place international best codes and practices related to law enforcement and border control and upon the effective protection and monitoring of borders, coasts and interior regions.	1
However, only 20 States have adopted practical measures and a national strategy to suppress recruitment by terrorist groups.	1
Reiterating its serious concern at the worsening humanitarian situation in [the affected country], strongly condemning the targeting and obstruction of the delivery of humanitarian aid by armed groups in [the affected country], which has prevented the delivery of such aid in some areas, deploring the repeated attacks on humanitarian personnel, expressing its condemnation in the strongest terms of all acts of violence or abuses committed against civilians and humanitarian personnel, in violation of international humanitarian law and human rights law, and reaffirming the importance of the fight against impunity.	1
15. Since my report of 2 January 2008 to the Security Council (S/2008/1), UNOCI has removed all except 2 of the 17 observation posts it had established along the green line, in keeping with the provisions of the Ouagadougou Agreement.	1
(f) Legal entities or natural persons licensed to trade in foreign currency on their own account or on a client's account,	0
Mr. Rishchynski (Canada) (spoke in French): I would like to begin by thanking Mr. Ján Kubiš for his briefing this morning. I also thank Afghan Ambassador Zahir Tanin for his statement.	0
Each month the Ministry of Lands, Mines and Energy receives hundreds of requests to mediate disputes over concession rights.	0
III. THE LEGAL FRAMEWORK 16-24 16-24 20202020	0
Several programmes are also offered by member States on a bilateral basis.	0
92. Given its importance for the future of Libya, the constitutional process has rightly received attention from Libyans and the international community alike.	0
The results of the review, including the significant issues identified, were recorded in the Claims Database.	0
He stressed that the Library has copies of documents from several international organizations, such as NATO, and already hosts some ICTY public materials.	0
- Resolution 1373 (2001) of 28 September 2001;	0
Improved relations between Chad and the Sudan, and the vigilance of the national and joint-border security forces, have also been cited as important contributing factors.	1
For banking institutions, this obligation is also established by Czech National Bank Regulation No. 1 of 8 September 2003.	1
Equally, financing losses may arise from the use of Funds Raised to fund types of losses other than losses of property, such as losses of Government revenue.	0
:: 19 September 2005, one person is killed and two wounded in a small explosion at the Kuwaiti information office in Beirut.	1
We urge further action by Israel to remove settler outposts in accordance with the Road Map and address the growing threat of settler extremism.	1
PNTL records show that one F2000 fully automatic machine gun and 2,000 rounds of ammunition were signed over to the Minister of the Interior by the PNTL General Commander.	1
The attack was conducted mainly by the military. The Arab people did the stealing.	1
Israel must also refrain from unilateral actions in Jerusalem that alter the status quo or undermine trust.	1
221. States of the subregion cooperate well with regional and international partners to reduce the risk of, and their vulnerabilities to terrorism. They exchange threat and warnings intelligence, share operational information, and conduct joint training and other exercises within bilateral and multilateral contexts.	1
As we have always stressed, that position implies no value judgement on the substance of the issue; it is an firm invitation to give both justice and the political process a chance.	0
The EU decision to open negotiations for a stabilization and association agreement represents a milestone in this respect.	1
Three States have introduced legal provisions to enable extradition, mutual legal assistance and information exchange and have entered into relevant bilateral treaties or other arrangements with other States.	1
However, as the entity effectively governing the Gaza Strip, it is also responsible for maintaining daily life.	0
Implementation of the joint communiqué of 2 April 2009	0
(a) The passport number or travel document number of the listed individual;	0
Stolen vehicles -61,525 -202,000 342-344	0
The Prime Minister failed to use his firm authority to denounce the transfer of weapons to civilians. No further steps were taken by him to address the issue.	1
Union on the situation in Guinea-Bissau	0
Turkish newspaper Vakit -- 4 January 2012	0
44. With regard to the reunification of the two forces, the Chiefs of Staff of the defence and security forces and the Forces nouvelles informed the assessment mission that they had developed a proposal for a unified transition army, which would be composed of mixed units responsible for providing security to the electoral process.	1
Turkey is fully aware of the intentions of the Syrian Government which were put into practice through various means of aggression and provocation, such as the targeting of innocent civilians across the border.	1
1. Al-Qaida affiliates gained ground in northern Mali in 2012, triggering a political crisis and international intervention.	1
The Committee strives to ensure that the consolidated list is dynamic and responsive to the evolving threat posed by Al-Qaida and the Taliban.	1
Develop gender guidelines for DDR; provide security arrangements for disarmament sites within the DDR zones, with special attention to the needs of women; organize meetings with women ex-combatants and those associated with the fighting forces to assess needs and mechanisms of reintegration.	1
(c) To update regularly the List referred to in paragraph 1;	0
It was changed to a panel format where representatives of the Federal Government of Somalia and regional counter-piracy authorities engaged in a discussion with United Nations and European Union bodies and Oceans Beyond Piracy.	1
16. The situation in the occupied Arab territories (4 May 1976; 13 July 1998).	0
The report states a number of instances, particularly in the security sector, which are cause of great concern.	1
Categories are explained in table II.3 below.	0
2. Implementation of resolution 1624 (2005)	0
A total of 9,814 people, 7,295 females and 2,519 males, were tested for HIV during the campaign.	0
About 44 per cent of the volume lifted was from Ceyhan in Turkey.	0
A one-State solution might accommodate many fundamental Palestinian desires, but it fails to meet the essential requirement of Israelis to maintain their self-determination and sovereignty.	0
56. Currently, the Government authorities state that they have not identified the members of the squads and attribute these acts to possible settling of accounts.	1
EXTERNAL FACTORS IMPACTING ON THE IMPLEMENTATION OF THE COMPLETION STRATEGY	0
67. The Democratic People's Republic of Korea used its land, naval and intelligence forces to conduct abductions and arrests.	1
Mali and the Niger are members of the newly established subregional Joint Intelligence Centre in Tamanrasset, Algeria.	1
"Of these employees, three were Japanese nationals and the remainder were Indian, Bangladeshi, Filipino, Pakistani and British nationals, (referred to by Shimizu as ""third country staff"")."	0
(b) Spare parts and materials 371	0
66. The vast majority of abductions and enforced disappearances are linked to the Korean War and the organized movement of ethnic Koreans from Japan that started in 1959.	1
134. The Team has discussed areas for cooperation with the OSCE Action against Terrorism Unit, the Commonwealth of Independent States Regional Office for Central Asia and the Shanghai Cooperation Organization's Regional Anti-Terrorist Structure and has initiated contact with other regional organizations, such as the Organization of American States, which has established the Inter-American Committee on Terrorism, and the African Union, which has established a counter-terrorism centre in Algiers.	1
One of the key issues in a post-conflict country is security sector reform.	0
In the opinion of the Secretary-General, these credentials are in order.	0
